sample,group,Treatment,Niche,TN,NH4_N,NO3_N,MBN,TC,OM,MBC,TP,AP,TK,AK,pH,APP,LAP,NAG,Urease,BG,CBH,BX,AKP,EMF
N0.Z.3,N0.Z,N0,Rootzone,1.110307729,0.953582375,11.30676245,9.389118774,16.13422871,17.336625,113.8979932,1.567256273,50.3,20.0740436,119,8.03,0.085018507,1.084967515,0.004821331,0.153513206,0.009109372,0.008868732,0.005392078,0.052342077,-0.371243004
N0.Z.4,N0.Z,N0,Rootzone,1.150425977,0.838314176,11.36963602,8.718467433,16.46581769,17.92855566,115.65027,1.527609835,52.7,20.15316405,120,8,0.449421603,1.035590347,0.005327318,0.150646419,0.007412271,0.008960286,0.005688205,0.029506364,-0.392166303
N0.Z.5,N0.Z,N0,Rootzone,1.132215118,0.78591954,11.12862069,8.969961686,16.34610534,17.97550464,122.6593773,1.582955949,50.1,20.25524907,120,7.99,0.360681637,1.52094194,0.00565362,0.151775518,0.009031229,0.007878001,0.004076527,0.07447219,-0.259851215
N2.Z.1,N2.Z,N2,Rootzone,1.353230692,1.151430636,28.74351156,11.32416185,18.58348131,22.78202996,167.8111371,1.174960506,31.8,20.22116904,94,7.54,0.339141197,0.676292854,0.003382716,0.259890157,0.004557887,0.008131,0.004070004,0.091038462,0.008537377
N2.Z.2,N2.Z,N2,Rootzone,1.336027092,1.352138728,29.74705202,12.42277457,18.19019675,23.17222252,155.4461059,1.201641266,31,20.63305979,94,7.55,0.292128354,0.736967397,0.003039753,0.256970227,0.005713409,0.008920349,0.004742394,0.077593957,0.025622568
N2.Z.3,N2.Z,N2,Rootzone,1.323506093,1.352138728,29.03929191,12.59179191,18.24356556,23.5883546,151.9132399,1.209072978,31.6,19.72386588,93,7.6,6.530287116,0.431430014,0.00193455,0.256237442,0.003230583,0.010934601,0.01558906,0.056455119,0.046004485
N2.Z.4,N2.Z,N2,Rootzone,1.332627094,1.172557803,28.83858382,12.42277457,18.26255202,23.19222418,158.9789719,1.191860465,31.9,19.68992248,94,7.57,3.179865286,0.548734399,0.001688613,0.239202844,0.003503789,0.006638888,0.01096452,0.05010226,-0.11171926
N2.Z.5,N2.Z,N2,Rootzone,1.335964507,1.225375723,29.55690751,11.15514451,18.40659618,23.75616884,176.6433022,1.158346334,32.3,19.50078003,95,7.53,5.821136861,2.07726536,0.001812416,0.25831144,0.003716222,0.02501296,0.024350054,0.098389434,0.405291893
N4.Z.1,N4.Z,N4,Rootzone,1.561654812,1.232948718,21.47211538,13.12358974,19.15786409,25.80377952,160.7447234,1.271186441,41.9,20.17362547,123,7.86,4.108568044,1.331297564,0.00418771,0.263716822,0.015249289,0.011068058,0.01508884,0.056140094,0.380362612
N4.Z.2,N4.Z,N4,Rootzone,1.55946762,1.138910256,21.63929487,12.53846154,19.20727396,25.00745019,167.7336244,1.271699637,41.4,19.86273718,122,7.88,3.636381993,1.089358518,0.004834317,0.268866975,0.009142811,0.01164381,0.014171332,0.072393956,0.346804875
