"Method","GroupBasedOn","Group","Index","bin1","bin2","bin3","bin4","bin5","bin6","bin7","bin8","bin9","bin10","bin11","bin12","bin13","bin14","bin15","bin16","bin17","bin18","bin19","bin20","bin21","bin22","bin23","bin24","bin25","bin26","bin27","bin28","bin29","bin30","bin31","bin32","bin33","bin34","bin35","bin36","bin37","bin38","bin39","bin40","bin41","bin42","bin43","bin44","bin45","bin46","bin47","bin48","bin49","bin50","bin51","bin52","bin53","bin54","bin55","bin56","bin57","bin58","bin59","bin60","bin61","bin62","bin63","bin64","bin65","bin66","bin67","bin68","bin69","bin70","bin71","bin72","bin73","bin74","bin75","bin76","bin77","bin78","bin79","bin80","bin81","bin82","bin83","bin84","bin85","bin86","bin87","bin88","bin89","bin90","bin91","bin92","bin93","bin94","bin95","bin96","bin97","bin98","bin99","bin100","bin101","bin102","bin103","bin104","bin105","bin106","bin107","bin108","bin109","bin110","bin111","bin112","bin113","bin114","bin115","bin116","bin117","bin118","bin119","bin120","bin121","bin122","bin123","bin124","bin125","bin126","bin127","bin128","bin129"
"CbMPDiCbraya","Niche","Root","DL","0.594777878326804","0.919288612580222","0.879670348944621","0.0479690474715872","0.402172426050516","0.483020382561603","0.511145451007138","0.677946954576462","0.372175485020654","0.510096792205162","0.0335369671123479","0.769794560564252","0.275838223259298","0.437266122776123","0","0","0.397298042213857","0.273843049866315","0.156661581292734","0.619334045282699","0.478248495211832","0.291537259869092","0.604941739732638","0.486623409077325","0.188888729497865","0.00880843926240161","0.312077194426514","0.0637836658598038","0.781604670917661","0.740822962932626","0.573893763715364","0","0.781322796164431","0.64048073559934","0.764833372129435","0.894275221435869","0.906530969966262","0.777467940162793","0.751098410906253","0.757539974398574","0.829086106444354","0.645075744143703","0.395234244538418","0.796428772460075","0.786219538297374","0.705003379074226","0.702479524735968","0.774829695445545","0.606166635395327","0.31791138881245","0.807694915777579","0.140311440154653","0","0.436348378236032","0.0945381166351214","0.0481663937296895","0.00705006044577853","0.0111775979501977","0.656100978653425","0","0","0.379899772907621","0.214429037319644","0.281316422412364","0.23388485358664","0.248942215366308","0","0.610637367502997","0.696683105043881","0.491634139691427","0.702736541151947","0.589978234111082","0.548071246746802","0.607975710982992","0","0.0340627180973108","0","0.729618231186155","0.0923589104026732","0.242003482773693","0.352531249666599","0.0526051821872271","0","0","0","0","0","0","0","0.773228419772277","0.537502397761202","0.608741928074168","0.85864983851412","0.775246730071552","0.752637005698687","0.24992789052295","0.966030305440571","0.161857017786513","0.195307248707412","0","0","0","0","0","0","0","0.0250043492797704","0.144187239895284","0.0362283100102359","0.93622659922311","0.932205748131698","0.929148694327475","0","0.552258196107335","0.673386713316161","0","0.272669378280177","0.369873650102974","0.462805257984436","0","0","0.358336011328291","0.0258075861653835","0.818068596956839","0.424857109757424","0.458866752931912","0.324996855385669","0","0.514961240660399"
"CbMPDiCbraya","Niche","Root","HD","0","0","0","0.0108994149415646","0","0.00221483763213084","0","0","0","0.00213160752136165","0.0635344937836678","0.00102718801885605","0.00281944816313877","0.00280550648888689","0.0867986055312122","0.0143932668313896","0.0062792661187588","0.0578600638130218","0.000789113339689833","0","0","0","0.000683334832978733","0","0","0","0.00108247720511438","0.0231865981210239","0","0.00283465762960659","0","0.0500648487752291","0","0.00135337035889939","0","0","0","0","0","0","0","0","0","0.00029135600398639","0","0.000388884594414756","0.00382225805300802","0","0","0.00107428000612787","0","0.00269300066885344","0.0127956663626058","0","0.0223339459034894","0.255194766970577","0.0012977490495855","0.0258209996231997","0","0.954256317102142","0.0912125268445633","0.00384763370037992","0","0","0","0.00210321341728682","0.139751495134507","0","0.00364565405225391","0.00874893455891577","0","0","0.00142233371124869","0","0.0191264212057157","0.00926797548573157","0.14587479830256","0","0.00307520685449011","0","0.000482931824734174","0.0101830743974147","0.225861293797467","0.660026015075785","0.00701426959281924","0.056976953313893","0.0779655464879308","0.201250032688925","0.678804467684325","0","0.00596531223028245","0","0","0","0","0","0","0","0.041443405343781","0.263020136384479","0","0.10522281787225","0.564007468623936","0.377409203703564","0","0.0645453690528538","0","0.00118155439216979","0.0259553215779596","0","0","0","0.0577323494801854","0.000531209018887014","0","0","0.0234932018240003","0","0.0314150182865431","0.57624989503259","0.136650272636699","0.0126745734742695","0.00770522859600814","0","0.0138382915585929","0.00242914344090002","0.000257513336425531","0.224253187931985","0"
"CbMPDiCbraya","Niche","Root","DR","0.245734096560568","0.0694811416594777","0.0494746691236684","0.941131537586848","0.597827573949484","0.459374064114605","0.373614763151058","0.183622754023568","0.534851715643816","0.440025983701941","0.866774474261855","0.206361441259024","0.549757621252081","0.532569132647651","0.885564535899341","0.941601495058828","0.286539308473374","0.335075174770288","0.152388362518913","0.042382607724165","0.202130850847469","0.464779667982679","0.331172814098537","0.187029156078924","0.811111270502134","0.193559868293554","0.664766707616933","0.753093181172737","0.0386772719346084","0.112955563679662","0.426106236284635","0.818009046817485","0.135113137581344","0.232529543125706","0.216336174638896","0.0865746548706254","0.0888719213891603","0.033704851581199","0.0819384056854884","0.1424619622789","0.134174633040131","0.302890015291676","0.0594424196604045","0.121504277282973","0.0641883358198355","0.167091527960941","0.226216924428357","0.190452490244776","0.109130905534716","0.641280308834767","0.11412193756291","0.850637057478755","0.774373488292838","0.438812040024649","0.762576817921634","0.562119334570092","0.968822414387639","0.919040410736641","0.294881579725271","0","0.773584965016204","0.48531652849889","0.769067244695345","0.365744403155122","0.76611514641336","0.538404945141544","0.842142406535811","0.382377420431775","0.293417063734089","0.499616925749657","0.202836851848484","0.400922317689369","0.331413584923872","0.23862409632048","0.923457777385532","0.956669306416957","0.502616688965668","0.256483159768507","0.52858987788294","0.710645863859549","0.544601566182687","0.886308369040921","0.692993620185839","0.287330018580723","0.91110365719073","0.943023046686107","0.826438484459903","0.459052404845321","0.247826154779447","0.15853663289523","0.43547136816787","0.232343231211855","0.115706663531827","0.0409470801482409","0.192246867156669","0.255972119682596","0.0339696945594291","0.0640046145875205","0.625622485017981","0.694874598578889","1","0.89477718212775","0.0731171155519044","0.538284146912531","1","0.923467638443873","0.160648570977398","0.837479640014985","0.628705330915586","0.0637734007768902","0.0677942518683016","0.0596604211956428","0.576175825404165","0.432323701759217","0.0761604569853942","1","0.595224254000972","0.385876104994652","0.380003465027123","0.232080193703781","0.853843000287121","0.525033315063886","0.943015721279933","0.051163139913606","0.405336178708041","0.37311603782167","0.624941279922436","0.689682463635172","0.436953797477916"
"CbMPDiCbraya","Niche","Root","DominantProcess","DL","DL","DL","DR","DR","DL","DL","DL","DR","DL","DR","DL","DR","DR","DR","DR","DL","DR","HoS","DL","DL","DR","DL","DL","DR","HoS","DR","DR","DL","DL","DL","DR","DL","DL","DL","DL","DL","DL","DL","DL","DL","DL","HoS","DL","DL","DL","DL","DL","DL","DR","DL","DR","DR","DR","DR","DR","DR","DR","DL","HD","DR","DR","DR","DR","DR","DR","DR","DL","DL","DR","DL","DL","DL","DL","DR","DR","DR","DL","DR","DR","DR","DR","DR","HD","DR","DR","DR","DR","HD","DL","DL","DL","DL","DL","DL","HoS","DL","HoS","DR","DR","DR","DR","HD","DR","DR","DR","HoS","DR","DR","DL","DL","DL","DR","DL","DL","DR","DR","DR","DL","HD","DR","DR","DR","DL","DL","DL","DR","DR","DL"
"CbMPDiCbraya","Niche","Root","DominantProcessImportance","0.594777878326804","0.919288612580222","0.879670348944621","0.941131537586848","0.597827573949484","0.483020382561603","0.511145451007138","0.677946954576462","0.534851715643816","0.510096792205162","0.866774474261855","0.769794560564252","0.549757621252081","0.532569132647651","0.885564535899341","0.941601495058828","0.397298042213857","0.335075174770288","0.652250623167467","0.619334045282699","0.478248495211832","0.464779667982679","0.604941739732638","0.486623409077325","0.811111270502134","0.797631692444045","0.664766707616933","0.753093181172737","0.781604670917661","0.740822962932626","0.573893763715364","0.818009046817485","0.781322796164431","0.64048073559934","0.764833372129435","0.894275221435869","0.906530969966262","0.777467940162793","0.751098410906253","0.757539974398574","0.829086106444354","0.645075744143703","0.531458657932812","0.796428772460075","0.786219538297374","0.705003379074226","0.702479524735968","0.774829695445545","0.606166635395327","0.641280308834767","0.807694915777579","0.850637057478755","0.774373488292838","0.438812040024649","0.762576817921634","0.562119334570092","0.968822414387639","0.919040410736641","0.656100978653425","0.954256317102142","0.773584965016204","0.48531652849889","0.769067244695345","0.365744403155122","0.76611514641336","0.538404945141544","0.842142406535811","0.610637367502997","0.696683105043881","0.499616925749657","0.702736541151947","0.589978234111082","0.548071246746802","0.607975710982992","0.923457777385532","0.956669306416957","0.502616688965668","0.729618231186155","0.52858987788294","0.710645863859549","0.544601566182687","0.886308369040921","0.692993620185839","0.660026015075785","0.91110365719073","0.943023046686107","0.826438484459903","0.459052404845321","0.678804467684325","0.773228419772277","0.537502397761202","0.608741928074168","0.85864983851412","0.775246730071552","0.752637005698687","0.494099989794454","0.966030305440571","0.717900330090867","0.625622485017981","0.694874598578889","1","0.89477718212775","0.564007468623936","0.538284146912531","1","0.923467638443873","0.795691785701638","0.837479640014985","0.628705330915586","0.93622659922311","0.932205748131698","0.929148694327475","0.576175825404165","0.552258196107335","0.673386713316161","1","0.595224254000972","0.385876104994652","0.462805257984436","0.57624989503259","0.853843000287121","0.525033315063886","0.943015721279933","0.818068596956839","0.424857109757424","0.458866752931912","0.624941279922436","0.689682463635172","0.514961240660399"
"CbMPDiCbraya","Niche","Root","DominantProcessPvalue","0.19","0","0","0","0.19","0.59","0.33","0","0.29","0.36","0","0","0.07","0.31","0","0","0.45","0.5","0.13","0.16","0.39","0.26","0.17","0.16","0","0.01","0.04","0.01","0.01","0","0.46","0","0.01","0.09","0.03","0","0","0","0.01","0","0","0.04","0.26","0","0","0.09","0.03","0.02","0.03","0.09","0.03","0","0.01","0.5","0","0.17","0","0","0.16","0","0","0.4","0.01","0.57","0.07","0.15","0.02","0.3","0.18","0.44","0.02","0.23","0.25","0.11","0","0","0.11","0.11","0.3","0.02","0.22","0","0.22","0.07","0","0.01","0.01","0.35","0.03","0.03","0.31","0.15","0.03","0","0.04","0.19","0","0","0.05","0.34","0.39","0.02","0.17","0.38","0.2","0.04","0.01","0","0.14","0","0","0","0.24","0.3","0.03","0.06","0.08","0.54","0.49","0.09","0.01","0.3","0","0.04","0.53","0.38","0.06","0.05","0.42"
"CbMPDiCbraya","Niche","Rhizosphere","HeS","0.0802412796035596","0","0.00478326262536243","0.00703995301528216","0","0","0","0","0","0","0","0.0114410193949963","0","0","0","0","0","0","0","0","0","0","0.0265892191477188","0","0.091038760339212","0","0","0","0.00830922952883938","0","0","0.0302122977599511","0","0","0","0","0","0","0.0214687290506909","0","0","0","0.00570272064183518","0","0","0","0","0.028347528374311","0.01866901972096","0","0","0","0","0","0","0","0","0.130138293715904","0","0","0","0","0.00847906954168991","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.106991276792899","0","0","0","0","0","0","0","0","0","0.0233965677710843","0.0701919761553475","0","0.0423523033523251","0","0","0.00609600562370968","0","0","0","0","0","0","0","0.00385020306136181","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0479815216686276","0","0","0.0250161622040711","0.0497647329576636","0","0","0"
"CbMPDiCbraya","Niche","Rhizosphere","HoS","0.441298910714054","0","0.0035960148419766","0.723477365806589","0.00204586176962317","0","0","0.420368253716263","0.000887770906193432","0.00571269923601008","0","0","0.00827567368710875","0.18533755958874","0.0271021446794708","0","0.444315456520358","0","0.0522988025900899","0.36302232790758","0.0076324593437914","0.0515826940836418","0","0.0508556358929191","0","0.830548275346053","0","0.170711572095674","0.348424628648952","0.00652058214307333","0.0998193541086454","0.115812025810331","0","0.0159208107404885","0.136117895092194","0.0193171421209252","0.00678016140990821","0.190789477967977","0.0801359365472117","0.0619247566130729","0.128051012882372","0.00121641181700226","0.128698608569368","0.0567427844561701","0.0353882546099406","0.0429106580270917","0.0634144212071421","0.138046884741748","0.201607483993493","0.0375715592404523","0","0","0.048634571883989","0.0163748015484316","0","0","0.00895942349225123","0.00939223203273203","0.117826253901061","0","0.167379804205226","0.0956645215364814","0.00169630668511317","0.0428410714142297","0.00822701111826152","0.402858524722944","0","0.076360334399828","0.00228887993227859","0.0901695421218372","0.035035668769173","0.00238921293235585","0.0266826883734697","0.00250670128846119","0.0536526526440715","0.143450124313367","0.46196165435623","0.0338463323826397","0.136499005231874","0.18720939030441","0.208148153758471","0.0100432355435201","0.0166519830269936","0.0120060895777095","0.192090421496794","0.022921587663412","0","0","0","0.0601650804010005","0.018122210349929","0.032031703871778","0.0351323724252887","0.0505212090162327","0","0.0414292557930173","0.0134780492178573","0.384266301191162","0.481932001325322","0.0052708304100744","0.0105335473958997","0.0007341104109479","0.453481222575995","0.781116305191577","0","0.0188214888087401","0.0462299825556473","0.0140492296738659","0.624704501749746","0.0150281256653359","0.0877726572394964","0.157902391291519","0.0285810583669016","0.0116842340570046","0.105166991150534","0.344901335321909","0.0141847102338609","0.00485482028509748","0.0919588990668098","0.187887939738854","0","0.030956340170791","0.149420188892613","0","0.330564408083458","0.688170515809049","0.000548981823995538","0.00145738888340393","0.0483656286880161"
"CbMPDiCbraya","Niche","Rhizosphere","DL","0.148339175571592","0","0.0251400607841196","0.0135232912798555","0.0873564272815743","0.0872023154549102","0","0.231728904039936","0.0321832091520289","0.203108493996272","0.177517426552158","0.316500876367972","0.488370288217654","0","0.650271779296164","0.0912905298310181","0.40514311048562","0.76473788285233","0.565625131315664","0.410973870101716","0.124188613501409","0.36703212624304","0.91327960190552","0.63807115819761","0.716976759299358","0.0573678516117627","0.232602977550001","0.114129710172444","0.396718454687618","0.464573886120967","0","0","0","0.108244511129922","0.0299321462621574","0.0800774292920122","0","0.00878512843746168","0.512769578718524","0.516300438210858","0.0504286216564408","0.0155324363159419","0.171392762048023","0.615429776352432","0.771222841893334","0.797699505362614","0.496868585587709","0.621880372966314","0.694067052639578","0","0","0","0","0.00944604101673059","0.062740545634705","0.00642714352657699","0.026336436177975","0.00640032145737423","0.0832785152475463","0","0.394568357795077","0.0395997738419576","0.0300016667644993","0","0","0","0","0","0","0.0225388446717794","0","0.122787051019934","0.0623145658321937","0","0","0","0","0","0","0","0","0","0","0","0","0.0212365526491367","0.0654930968037155","0","0","0.290934430373676","0","0","0","0.0645339123868329","0.149828815294686","0","0","0","0","0","0","0.456038781857564","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.32780907357254","0","0","0","0","0","0","0","0.0278191188842577","0.00767497342274819","0.713164740867835","0.275141099372036"
"CbMPDiCbraya","Niche","Rhizosphere","HD","0.00381260718339672","0","0","0","0.0155696931370718","0.0157298419762321","0.0242508398331084","0","0.0106514368699343","0.00512924247240754","0.00530513811314042","0","0","0.0153622627764401","0","0","0","0","0","0","0","0","0","0","0","0","0.00532769337616595","0.0151733092832142","0.000555157924139135","0","0","0.329030125013403","0","0.0245850444768894","0.0543760600768028","0.0669397146869539","0.153410540943134","0.0641812446574698","0.00773148447569163","0","0.0426706467385614","0.0261466995749314","0.0231206200492416","0","0.00408517947679397","0","0","0","0","0.0676962641991878","0","0.153682966631693","0.0184613231401641","0.0417182816356712","0.0656599180468584","0.059460194592936","0.0725719015868255","0.0126656143753019","0","0.474276572765185","0.00483273028224796","0.0169673959175954","0.00792433414576805","0.115946870462464","0.0908511794121713","0.0151077618541145","0.118747451605176","0.00508857957222859","0.0171614895172283","0","0","0.00797733899422978","0.0291497144273603","0.0776532129904011","0.0113495427741739","0.0526302673402814","0.129937559174458","0.00563925345001143","0.101223696887826","0","0.0304258649584922","0.0284201419834735","0.103923728258776","0.0359875434275057","0","0","0.0149794989639896","0.116005950823855","0.534000210608118","0","0.533870672890008","0","0","0.000700509976004597","0","0.0251623109340194","0.0337494073258838","0.00662106744191903","0.318415449478784","0.205387528790132","0","0","0.070979696340279","0.0277572544169439","0.0609989701678078","0.027584843292667","0.350529314563741","0.0748426761334456","0.0634105523957035","0.614605607676005","0.289223549123368","0.0982492757977028","0.242809543995204","0.117028693501963","0.0225691209469467","0.00586105855380594","0.101894989233827","0","0.385985017265684","0.541835962745844","0.29463548596486","0.129991862500391","0.0609877928398123","0","0.120027176505676","0","0.0545092810630698","0.000728659400699801","0"
