"source","target","correlation","direct","cor"
"fun_ASV_442","bac_ASV_619",1,"undirected","+"
"fun_ASV_2343","bac_ASV_619",1,"undirected","+"
"fun_ASV_80","bac_ASV_3732",1,"undirected","+"
"fun_ASV_492","bac_ASV_3732",1,"undirected","+"
"fun_ASV_145","bac_ASV_3732",1,"undirected","+"
"fun_ASV_442","bac_ASV_3732",1,"undirected","+"
"fun_ASV_2343","bac_ASV_3732",1,"undirected","+"
"fun_ASV_80","bac_ASV_1431",1,"undirected","+"
"fun_ASV_492","bac_ASV_1431",1,"undirected","+"
"fun_ASV_145","bac_ASV_1431",1,"undirected","+"
"fun_ASV_442","bac_ASV_1431",1,"undirected","+"
"fun_ASV_2343","bac_ASV_1431",1,"undirected","+"
"fun_ASV_80","bac_ASV_3612",1,"undirected","+"
"fun_ASV_492","bac_ASV_3612",1,"undirected","+"
"fun_ASV_145","bac_ASV_3612",1,"undirected","+"
"fun_ASV_442","bac_ASV_3612",1,"undirected","+"
"fun_ASV_2343","bac_ASV_3612",1,"undirected","+"
"fun_ASV_80","bac_ASV_2193",1,"undirected","+"
"fun_ASV_492","bac_ASV_2193",1,"undirected","+"
"fun_ASV_145","bac_ASV_2193",1,"undirected","+"
"fun_ASV_442","bac_ASV_2193",1,"undirected","+"
"fun_ASV_2343","bac_ASV_2193",1,"undirected","+"
"fun_ASV_80","bac_ASV_3093",1,"undirected","+"
"fun_ASV_492","bac_ASV_3093",1,"undirected","+"
"fun_ASV_145","bac_ASV_3093",1,"undirected","+"
"fun_ASV_442","bac_ASV_3093",1,"undirected","+"
"fun_ASV_2343","bac_ASV_3093",1,"undirected","+"
"fun_ASV_80","bac_ASV_1213",1,"undirected","+"
"fun_ASV_492","bac_ASV_1213",1,"undirected","+"
"fun_ASV_145","bac_ASV_1213",1,"undirected","+"
"fun_ASV_442","bac_ASV_1213",1,"undirected","+"
"fun_ASV_2343","bac_ASV_1213",1,"undirected","+"
"fun_ASV_80","bac_ASV_2772",1,"undirected","+"
"fun_ASV_492","bac_ASV_2772",1,"undirected","+"
"fun_ASV_145","bac_ASV_2772",1,"undirected","+"
"fun_ASV_442","bac_ASV_2772",1,"undirected","+"
"fun_ASV_2343","bac_ASV_2772",1,"undirected","+"
"fun_ASV_80","bac_ASV_5564",1,"undirected","+"
"fun_ASV_492","bac_ASV_5564",1,"undirected","+"
"fun_ASV_145","bac_ASV_5564",1,"undirected","+"
"fun_ASV_442","bac_ASV_5564",1,"undirected","+"
"fun_ASV_2343","bac_ASV_5564",1,"undirected","+"
"fun_ASV_80","bac_ASV_2830",1,"undirected","+"
"fun_ASV_492","bac_ASV_2830",1,"undirected","+"
"fun_ASV_145","bac_ASV_2830",1,"undirected","+"
"fun_ASV_442","bac_ASV_2830",1,"undirected","+"
"fun_ASV_2343","bac_ASV_2830",1,"undirected","+"
"fun_ASV_80","bac_ASV_13735",1,"undirected","+"
"fun_ASV_492","bac_ASV_13735",1,"undirected","+"
"fun_ASV_145","bac_ASV_13735",1,"undirected","+"
"fun_ASV_442","bac_ASV_13735",1,"undirected","+"
"fun_ASV_2343","bac_ASV_13735",1,"undirected","+"
"fun_ASV_246","bac_ASV_404",1,"undirected","+"
"fun_ASV_1238","bac_ASV_404",1,"undirected","+"
"fun_ASV_2155","bac_ASV_404",1,"undirected","+"
"fun_ASV_1651","bac_ASV_404",1,"undirected","+"
"fun_ASV_246","bac_ASV_22027",1,"undirected","+"
"fun_ASV_1238","bac_ASV_22027",1,"undirected","+"
"fun_ASV_2155","bac_ASV_22027",1,"undirected","+"
"fun_ASV_1651","bac_ASV_22027",1,"undirected","+"
"fun_ASV_246","bac_ASV_2974",1,"undirected","+"
"fun_ASV_1238","bac_ASV_2974",1,"undirected","+"
"fun_ASV_2155","bac_ASV_2974",1,"undirected","+"
"fun_ASV_1651","bac_ASV_2974",1,"undirected","+"
"fun_ASV_246","bac_ASV_4591",1,"undirected","+"
"fun_ASV_1238","bac_ASV_4591",1,"undirected","+"
"fun_ASV_2155","bac_ASV_4591",1,"undirected","+"
"fun_ASV_1651","bac_ASV_4591",1,"undirected","+"
"fun_ASV_728","bac_ASV_379",0.833411114786589,"undirected","+"
"fun_ASV_2750","bac_ASV_379",0.833411114786589,"undirected","+"
"fun_ASV_520","bac_ASV_1087",1,"undirected","+"
"fun_ASV_785","bac_ASV_1087",1,"undirected","+"
"fun_ASV_520","bac_ASV_1099",1,"undirected","+"
"fun_ASV_785","bac_ASV_1099",1,"undirected","+"
"fun_ASV_520","bac_ASV_1917",1,"undirected","+"
"fun_ASV_785","bac_ASV_1917",1,"undirected","+"
"fun_ASV_520","bac_ASV_28655",1,"undirected","+"
"fun_ASV_785","bac_ASV_28655",1,"undirected","+"
"fun_ASV_520","bac_ASV_5615",1,"undirected","+"
"fun_ASV_785","bac_ASV_5615",1,"undirected","+"
"fun_ASV_520","bac_ASV_42807",1,"undirected","+"
"fun_ASV_785","bac_ASV_42807",1,"undirected","+"
"fun_ASV_520","bac_ASV_46100",1,"undirected","+"
"fun_ASV_785","bac_ASV_46100",1,"undirected","+"
"fun_ASV_520","bac_ASV_46098",1,"undirected","+"
"fun_ASV_785","bac_ASV_46098",1,"undirected","+"
"fun_ASV_38","bac_ASV_300",0.838054073643339,"undirected","+"
"fun_ASV_38","bac_ASV_386",0.833411114786589,"undirected","+"
"fun_ASV_1014","bac_ASV_335",0.833411114786589,"undirected","+"
"fun_ASV_499","bac_ASV_549",0.833411114786589,"undirected","+"
"fun_ASV_1870","bac_ASV_329",0.833411114786589,"undirected","+"
"fun_ASV_1087","bac_ASV_526",1,"undirected","+"
"fun_ASV_38","bac_ASV_511",0.833411114786589,"undirected","+"
"fun_ASV_457","bac_ASV_643",1,"undirected","+"
"fun_ASV_1087","bac_ASV_1151",1,"undirected","+"
"fun_ASV_457","bac_ASV_22912",1,"undirected","+"
"fun_ASV_457","bac_ASV_3029",1,"undirected","+"
"fun_ASV_1087","bac_ASV_2694",1,"undirected","+"
"fun_ASV_206","bac_ASV_3151",1,"undirected","+"
"fun_ASV_206","bac_ASV_2190",1,"undirected","+"
"fun_ASV_1087","bac_ASV_24754",1,"undirected","+"
"fun_ASV_457","bac_ASV_3657",1,"undirected","+"
"fun_ASV_457","bac_ASV_40402",1,"undirected","+"
"fun_ASV_581","bac_ASV_341",1,"undirected","+"
"fun_ASV_833","bac_ASV_341",1,"undirected","+"
"fun_ASV_1330","bac_ASV_341",1,"undirected","+"
"fun_ASV_1613","bac_ASV_341",1,"undirected","+"
"fun_ASV_581","bac_ASV_316",1,"undirected","+"
"fun_ASV_833","bac_ASV_316",1,"undirected","+"
"fun_ASV_1330","bac_ASV_316",1,"undirected","+"
"fun_ASV_1613","bac_ASV_316",1,"undirected","+"
"fun_ASV_581","bac_ASV_632",1,"undirected","+"
"fun_ASV_833","bac_ASV_632",1,"undirected","+"
"fun_ASV_1330","bac_ASV_632",1,"undirected","+"
"fun_ASV_1613","bac_ASV_632",1,"undirected","+"
"fun_ASV_581","bac_ASV_1292",1,"undirected","+"
"fun_ASV_833","bac_ASV_1292",1,"undirected","+"
"fun_ASV_1330","bac_ASV_1292",1,"undirected","+"
"fun_ASV_1613","bac_ASV_1292",1,"undirected","+"
"fun_ASV_581","bac_ASV_1056",1,"undirected","+"
"fun_ASV_833","bac_ASV_1056",1,"undirected","+"
"fun_ASV_1330","bac_ASV_1056",1,"undirected","+"
"fun_ASV_1613","bac_ASV_1056",1,"undirected","+"
"fun_ASV_581","bac_ASV_1202",1,"undirected","+"
"fun_ASV_833","bac_ASV_1202",1,"undirected","+"
"fun_ASV_1330","bac_ASV_1202",1,"undirected","+"
"fun_ASV_1613","bac_ASV_1202",1,"undirected","+"
"fun_ASV_581","bac_ASV_2857",1,"undirected","+"
"fun_ASV_833","bac_ASV_2857",1,"undirected","+"
"fun_ASV_1330","bac_ASV_2857",1,"undirected","+"
"fun_ASV_1613","bac_ASV_2857",1,"undirected","+"
"fun_ASV_581","bac_ASV_1403",1,"undirected","+"
"fun_ASV_833","bac_ASV_1403",1,"undirected","+"
"fun_ASV_1330","bac_ASV_1403",1,"undirected","+"
"fun_ASV_1613","bac_ASV_1403",1,"undirected","+"
"fun_ASV_581","bac_ASV_1831",1,"undirected","+"
"fun_ASV_833","bac_ASV_1831",1,"undirected","+"
"fun_ASV_1330","bac_ASV_1831",1,"undirected","+"
"fun_ASV_1613","bac_ASV_1831",1,"undirected","+"
"fun_ASV_581","bac_ASV_2273",1,"undirected","+"
"fun_ASV_833","bac_ASV_2273",1,"undirected","+"
"fun_ASV_1330","bac_ASV_2273",1,"undirected","+"
"fun_ASV_1613","bac_ASV_2273",1,"undirected","+"
"fun_ASV_581","bac_ASV_1968",1,"undirected","+"
"fun_ASV_833","bac_ASV_1968",1,"undirected","+"
"fun_ASV_1330","bac_ASV_1968",1,"undirected","+"
"fun_ASV_1613","bac_ASV_1968",1,"undirected","+"
"fun_ASV_581","bac_ASV_1360",1,"undirected","+"
"fun_ASV_833","bac_ASV_1360",1,"undirected","+"
"fun_ASV_1330","bac_ASV_1360",1,"undirected","+"
"fun_ASV_1613","bac_ASV_1360",1,"undirected","+"
"fun_ASV_581","bac_ASV_15675",1,"undirected","+"
"fun_ASV_833","bac_ASV_15675",1,"undirected","+"
"fun_ASV_1330","bac_ASV_15675",1,"undirected","+"
"fun_ASV_1613","bac_ASV_15675",1,"undirected","+"
"fun_ASV_581","bac_ASV_5535",1,"undirected","+"
"fun_ASV_833","bac_ASV_5535",1,"undirected","+"
"fun_ASV_1330","bac_ASV_5535",1,"undirected","+"
"fun_ASV_1613","bac_ASV_5535",1,"undirected","+"
