"source","target","correlation","direct","cor"
"fun_ASV_1951","bac_ASV_8252",1,"undirected","+"
"fun_ASV_2211","bac_ASV_8252",1,"undirected","+"
"fun_ASV_2274","bac_ASV_8252",1,"undirected","+"
"fun_ASV_527","bac_ASV_7554",1,"undirected","+"
"fun_ASV_611","bac_ASV_7554",1,"undirected","+"
"fun_ASV_557","bac_ASV_7554",1,"undirected","+"
"fun_ASV_1986","bac_ASV_7554",1,"undirected","+"
"fun_ASV_1951","bac_ASV_7554",1,"undirected","+"
"fun_ASV_2211","bac_ASV_7554",1,"undirected","+"
"fun_ASV_2274","bac_ASV_7554",1,"undirected","+"
"fun_ASV_144","bac_ASV_1060",0.833411114786589,"undirected","+"
"fun_ASV_274","bac_ASV_1060",0.806209068392001,"undirected","+"
"fun_ASV_401","bac_ASV_1060",1,"undirected","+"
"fun_ASV_326","bac_ASV_1060",0.833411114786589,"undirected","+"
"fun_ASV_407","bac_ASV_1060",1,"undirected","+"
"fun_ASV_709","bac_ASV_1060",0.833411114786589,"undirected","+"
"fun_ASV_1046","bac_ASV_1060",0.838054073643339,"undirected","+"
"fun_ASV_527","bac_ASV_3762",1,"undirected","+"
"fun_ASV_611","bac_ASV_3762",1,"undirected","+"
"fun_ASV_557","bac_ASV_3762",1,"undirected","+"
"fun_ASV_1986","bac_ASV_3762",1,"undirected","+"
"fun_ASV_1951","bac_ASV_3762",1,"undirected","+"
"fun_ASV_2211","bac_ASV_3762",1,"undirected","+"
"fun_ASV_2274","bac_ASV_3762",1,"undirected","+"
"fun_ASV_527","bac_ASV_5622",1,"undirected","+"
"fun_ASV_611","bac_ASV_5622",1,"undirected","+"
"fun_ASV_557","bac_ASV_5622",1,"undirected","+"
"fun_ASV_1986","bac_ASV_5622",1,"undirected","+"
"fun_ASV_1951","bac_ASV_5622",1,"undirected","+"
"fun_ASV_2211","bac_ASV_5622",1,"undirected","+"
"fun_ASV_2274","bac_ASV_5622",1,"undirected","+"
"fun_ASV_507","bac_ASV_1233",1,"undirected","+"
"fun_ASV_457","bac_ASV_1233",1,"undirected","+"
"fun_ASV_592","bac_ASV_1233",1,"undirected","+"
"fun_ASV_520","bac_ASV_1233",1,"undirected","+"
"fun_ASV_980","bac_ASV_1233",1,"undirected","+"
"fun_ASV_1921","bac_ASV_1233",1,"undirected","+"
"fun_ASV_106","bac_ASV_1087",1,"undirected","+"
"fun_ASV_314","bac_ASV_1087",1,"undirected","+"
"fun_ASV_530","bac_ASV_1087",1,"undirected","+"
"fun_ASV_433","bac_ASV_1087",1,"undirected","+"
"fun_ASV_416","bac_ASV_1087",1,"undirected","+"
"fun_ASV_1352","bac_ASV_1087",1,"undirected","+"
"fun_ASV_106","bac_ASV_4034",1,"undirected","+"
"fun_ASV_314","bac_ASV_4034",1,"undirected","+"
"fun_ASV_530","bac_ASV_4034",1,"undirected","+"
"fun_ASV_433","bac_ASV_4034",1,"undirected","+"
"fun_ASV_416","bac_ASV_4034",1,"undirected","+"
"fun_ASV_1352","bac_ASV_4034",1,"undirected","+"
"fun_ASV_507","bac_ASV_1083",1,"undirected","+"
"fun_ASV_457","bac_ASV_1083",1,"undirected","+"
"fun_ASV_592","bac_ASV_1083",1,"undirected","+"
"fun_ASV_520","bac_ASV_1083",1,"undirected","+"
"fun_ASV_980","bac_ASV_1083",1,"undirected","+"
"fun_ASV_1921","bac_ASV_1083",1,"undirected","+"
"fun_ASV_507","bac_ASV_7187",1,"undirected","+"
"fun_ASV_457","bac_ASV_7187",1,"undirected","+"
"fun_ASV_592","bac_ASV_7187",1,"undirected","+"
"fun_ASV_520","bac_ASV_7187",1,"undirected","+"
"fun_ASV_980","bac_ASV_7187",1,"undirected","+"
"fun_ASV_1921","bac_ASV_7187",1,"undirected","+"
"fun_ASV_507","bac_ASV_1271",1,"undirected","+"
"fun_ASV_457","bac_ASV_1271",1,"undirected","+"
"fun_ASV_592","bac_ASV_1271",1,"undirected","+"
"fun_ASV_520","bac_ASV_1271",1,"undirected","+"
"fun_ASV_980","bac_ASV_1271",1,"undirected","+"
"fun_ASV_1921","bac_ASV_1271",1,"undirected","+"
"fun_ASV_1002","bac_ASV_3636",1,"undirected","+"
"fun_ASV_461","bac_ASV_3636",1,"undirected","+"
"fun_ASV_917","bac_ASV_3636",1,"undirected","+"
"fun_ASV_2151","bac_ASV_3636",1,"undirected","+"
"fun_ASV_2433","bac_ASV_3636",1,"undirected","+"
"fun_ASV_2563","bac_ASV_3636",1,"undirected","+"
"fun_ASV_106","bac_ASV_2713",1,"undirected","+"
"fun_ASV_314","bac_ASV_2713",1,"undirected","+"
"fun_ASV_530","bac_ASV_2713",1,"undirected","+"
"fun_ASV_433","bac_ASV_2713",1,"undirected","+"
"fun_ASV_416","bac_ASV_2713",1,"undirected","+"
"fun_ASV_1352","bac_ASV_2713",1,"undirected","+"
"fun_ASV_507","bac_ASV_8026",1,"undirected","+"
"fun_ASV_457","bac_ASV_8026",1,"undirected","+"
"fun_ASV_592","bac_ASV_8026",1,"undirected","+"
"fun_ASV_520","bac_ASV_8026",1,"undirected","+"
"fun_ASV_980","bac_ASV_8026",1,"undirected","+"
"fun_ASV_1921","bac_ASV_8026",1,"undirected","+"
"fun_ASV_507","bac_ASV_3689",1,"undirected","+"
"fun_ASV_457","bac_ASV_3689",1,"undirected","+"
"fun_ASV_592","bac_ASV_3689",1,"undirected","+"
"fun_ASV_520","bac_ASV_3689",1,"undirected","+"
"fun_ASV_980","bac_ASV_3689",1,"undirected","+"
"fun_ASV_1921","bac_ASV_3689",1,"undirected","+"
"fun_ASV_507","bac_ASV_6654",1,"undirected","+"
"fun_ASV_457","bac_ASV_6654",1,"undirected","+"
"fun_ASV_592","bac_ASV_6654",1,"undirected","+"
"fun_ASV_520","bac_ASV_6654",1,"undirected","+"
"fun_ASV_980","bac_ASV_6654",1,"undirected","+"
"fun_ASV_1921","bac_ASV_6654",1,"undirected","+"
"fun_ASV_1002","bac_ASV_4623",1,"undirected","+"
"fun_ASV_461","bac_ASV_4623",1,"undirected","+"
"fun_ASV_917","bac_ASV_4623",1,"undirected","+"
"fun_ASV_2151","bac_ASV_4623",1,"undirected","+"
"fun_ASV_2433","bac_ASV_4623",1,"undirected","+"
"fun_ASV_2563","bac_ASV_4623",1,"undirected","+"
"fun_ASV_1002","bac_ASV_2731",1,"undirected","+"
"fun_ASV_461","bac_ASV_2731",1,"undirected","+"
"fun_ASV_917","bac_ASV_2731",1,"undirected","+"
"fun_ASV_2151","bac_ASV_2731",1,"undirected","+"
"fun_ASV_2433","bac_ASV_2731",1,"undirected","+"
"fun_ASV_2563","bac_ASV_2731",1,"undirected","+"
"fun_ASV_1002","bac_ASV_4733",1,"undirected","+"
"fun_ASV_461","bac_ASV_4733",1,"undirected","+"
"fun_ASV_917","bac_ASV_4733",1,"undirected","+"
"fun_ASV_2151","bac_ASV_4733",1,"undirected","+"
"fun_ASV_2433","bac_ASV_4733",1,"undirected","+"
"fun_ASV_2563","bac_ASV_4733",1,"undirected","+"
"fun_ASV_106","bac_ASV_6238",1,"undirected","+"
"fun_ASV_314","bac_ASV_6238",1,"undirected","+"
"fun_ASV_530","bac_ASV_6238",1,"undirected","+"
"fun_ASV_433","bac_ASV_6238",1,"undirected","+"
"fun_ASV_416","bac_ASV_6238",1,"undirected","+"
"fun_ASV_1352","bac_ASV_6238",1,"undirected","+"
"fun_ASV_1002","bac_ASV_2178",1,"undirected","+"
"fun_ASV_461","bac_ASV_2178",1,"undirected","+"
"fun_ASV_917","bac_ASV_2178",1,"undirected","+"
"fun_ASV_2151","bac_ASV_2178",1,"undirected","+"
"fun_ASV_2433","bac_ASV_2178",1,"undirected","+"
"fun_ASV_2563","bac_ASV_2178",1,"undirected","+"
"fun_ASV_382","bac_ASV_1018",1,"undirected","+"
"fun_ASV_483","bac_ASV_1018",1,"undirected","+"
"fun_ASV_961","bac_ASV_1018",1,"undirected","+"
"fun_ASV_603","bac_ASV_1018",1,"undirected","+"
"fun_ASV_1305","bac_ASV_1018",1,"undirected","+"
"fun_ASV_382","bac_ASV_2300",1,"undirected","+"
"fun_ASV_483","bac_ASV_2300",1,"undirected","+"
"fun_ASV_961","bac_ASV_2300",1,"undirected","+"
"fun_ASV_603","bac_ASV_2300",1,"undirected","+"
"fun_ASV_1305","bac_ASV_2300",1,"undirected","+"
"fun_ASV_426","bac_ASV_1356",1,"undirected","+"
"fun_ASV_766","bac_ASV_1356",1,"undirected","+"
"fun_ASV_785","bac_ASV_1356",1,"undirected","+"
"fun_ASV_1498","bac_ASV_1356",1,"undirected","+"
"fun_ASV_426","bac_ASV_2163",1,"undirected","+"
"fun_ASV_766","bac_ASV_2163",1,"undirected","+"
"fun_ASV_785","bac_ASV_2163",1,"undirected","+"
"fun_ASV_1498","bac_ASV_2163",1,"undirected","+"
"fun_ASV_426","bac_ASV_2298",1,"undirected","+"
"fun_ASV_766","bac_ASV_2298",1,"undirected","+"
"fun_ASV_785","bac_ASV_2298",1,"undirected","+"
"fun_ASV_1498","bac_ASV_2298",1,"undirected","+"
"fun_ASV_78","bac_ASV_5615",1,"undirected","+"
"fun_ASV_394","bac_ASV_5615",1,"undirected","+"
"fun_ASV_855","bac_ASV_5615",1,"undirected","+"
"fun_ASV_2437","bac_ASV_5615",1,"undirected","+"
"fun_ASV_78","bac_ASV_5359",1,"undirected","+"
"fun_ASV_394","bac_ASV_5359",1,"undirected","+"
"fun_ASV_855","bac_ASV_5359",1,"undirected","+"
"fun_ASV_2437","bac_ASV_5359",1,"undirected","+"
"fun_ASV_426","bac_ASV_6355",1,"undirected","+"
"fun_ASV_766","bac_ASV_6355",1,"undirected","+"
"fun_ASV_785","bac_ASV_6355",1,"undirected","+"
"fun_ASV_1498","bac_ASV_6355",1,"undirected","+"
"fun_ASV_381","bac_ASV_2139",1,"undirected","+"
"fun_ASV_1249","bac_ASV_2139",1,"undirected","+"
"fun_ASV_1330","bac_ASV_2139",1,"undirected","+"
"fun_ASV_152","bac_ASV_599",1,"undirected","+"
"fun_ASV_499","bac_ASV_599",1,"undirected","+"
"fun_ASV_2210","bac_ASV_599",1,"undirected","+"
"fun_ASV_68","bac_ASV_651",0.82343798181169,"undirected","+"
"fun_ASV_110","bac_ASV_651",0.803807119794664,"undirected","+"
"fun_ASV_1999","bac_ASV_651",0.828741930164745,"undirected","+"
"fun_ASV_261","bac_ASV_1864",1,"undirected","+"
"fun_ASV_1242","bac_ASV_1864",1,"undirected","+"
"fun_ASV_1529","bac_ASV_1864",1,"undirected","+"
"fun_ASV_70","bac_ASV_636",0.817767344959776,"undirected","+"
"fun_ASV_110","bac_ASV_636",0.817767344959776,"undirected","+"
"fun_ASV_120","bac_ASV_636",0.853935684841753,"undirected","+"
"fun_ASV_381","bac_ASV_2221",1,"undirected","+"
"fun_ASV_1249","bac_ASV_2221",1,"undirected","+"
"fun_ASV_1330","bac_ASV_2221",1,"undirected","+"
"fun_ASV_261","bac_ASV_3791",1,"undirected","+"
"fun_ASV_1242","bac_ASV_3791",1,"undirected","+"
"fun_ASV_1529","bac_ASV_3791",1,"undirected","+"
"fun_ASV_381","bac_ASV_2893",1,"undirected","+"
"fun_ASV_1249","bac_ASV_2893",1,"undirected","+"
"fun_ASV_1330","bac_ASV_2893",1,"undirected","+"
"fun_ASV_885","bac_ASV_12724",1,"undirected","+"
