"source","target","correlation","direct","cor"
"fun_ASV_1242","bac_ASV_607",1,"undirected","+"
"fun_ASV_1379","bac_ASV_607",1,"undirected","+"
"fun_ASV_1772","bac_ASV_607",1,"undirected","+"
"fun_ASV_122","bac_ASV_2799",0.817026601483983,"undirected","+"
"fun_ASV_93","bac_ASV_2799",1,"undirected","+"
"fun_ASV_277","bac_ASV_2799",0.813847509649415,"undirected","+"
"fun_ASV_530","bac_ASV_2713",1,"undirected","+"
"fun_ASV_801","bac_ASV_2713",1,"undirected","+"
"fun_ASV_961","bac_ASV_2713",1,"undirected","+"
"fun_ASV_60","bac_ASV_1837",0.806209068392001,"undirected","+"
"fun_ASV_122","bac_ASV_1837",0.883441865925274,"undirected","+"
"fun_ASV_93","bac_ASV_1837",0.875411563532945,"undirected","+"
"fun_ASV_530","bac_ASV_1860",1,"undirected","+"
"fun_ASV_801","bac_ASV_1860",1,"undirected","+"
"fun_ASV_961","bac_ASV_1860",1,"undirected","+"
"fun_ASV_1242","bac_ASV_3046",1,"undirected","+"
"fun_ASV_1379","bac_ASV_3046",1,"undirected","+"
"fun_ASV_1772","bac_ASV_3046",1,"undirected","+"
"fun_ASV_530","bac_ASV_4732",1,"undirected","+"
"fun_ASV_801","bac_ASV_4732",1,"undirected","+"
"fun_ASV_961","bac_ASV_4732",1,"undirected","+"
"fun_ASV_1674","bac_ASV_1483",1,"undirected","+"
"fun_ASV_621","bac_ASV_1483",1,"undirected","+"
"fun_ASV_1206","bac_ASV_1483",1,"undirected","+"
"fun_ASV_530","bac_ASV_6355",1,"undirected","+"
"fun_ASV_801","bac_ASV_6355",1,"undirected","+"
"fun_ASV_961","bac_ASV_6355",1,"undirected","+"
"fun_ASV_1198","bac_ASV_3119",1,"undirected","+"
"fun_ASV_2061","bac_ASV_3119",1,"undirected","+"
"fun_ASV_4103","bac_ASV_3119",1,"undirected","+"
"fun_ASV_78","bac_ASV_565",0.89658442790606,"undirected","+"
"fun_ASV_633","bac_ASV_565",-0.814727355488119,"undirected","-"
"fun_ASV_269","bac_ASV_625",0.81124944260422,"undirected","+"
"fun_ASV_414","bac_ASV_625",0.847268303351174,"undirected","+"
"fun_ASV_515","bac_ASV_636",0.840579710144928,"undirected","+"
"fun_ASV_269","bac_ASV_636",0.869615631352989,"undirected","+"
