"ID","filed","Kingdom","Phylum","Class","Order","Family","Genus","Species","group","Label"
"bac_ASV_1011","bac","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Devosiaceae","Devosia","Devosia ginsengisoli","bac","bac_ASV_1011"
"bac_ASV_10147","bac","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Pleomorphomonadaceae",NA,NA,"bac","bac_ASV_10147"
"bac_ASV_1018","bac","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Methylobacteriaceae","Microvirga","Microvirga sp. SM9","bac","bac_ASV_1018"
"bac_ASV_1022","bac","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae","Pseudolabrys","Pseudolabrys taiwanensis","bac","bac_ASV_1022"
"bac_ASV_1030","bac","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Bradyrhizobiaceae","Bradyrhizobium","Bradyrhizobium erythrophlei","bac","bac_ASV_1030"
"bac_ASV_1037","bac","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Bradyrhizobiaceae","Bradyrhizobium","Bradyrhizobium murdochi","bac","bac_ASV_1037"
"bac_ASV_1041","bac","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Bradyrhizobiaceae","Bradyrhizobium","Bradyrhizobium murdochi","bac","bac_ASV_1041"
"bac_ASV_1049","bac","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Rhizobium","Rhizobium azooxidifex","bac","bac_ASV_1049"
"bac_ASV_1050","bac","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Devosiaceae","Devosia",NA,"bac","bac_ASV_1050"
"bac_ASV_1054","bac","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae",NA,"Xanthobacteraceae bacterium","bac","bac_ASV_1054"
