ASV	Kingdom	Phylum	Class	Order	Family	Genus	Species
ASV_10059	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	Glomus	Whitfield_type_17
ASV_1006	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	Glomus	
ASV_10060	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	Glomus	
ASV_10061	Fungi	Glomeromycota	Glomeromycetes				
ASV_10062	Fungi	Glomeromycota	Glomeromycetes	Paraglomerales	Paraglomeraceae	Paraglomus	Para1_OTU2
ASV_10063	Fungi	Glomeromycota	Glomeromycetes	Paraglomerales	Paraglomeraceae	Paraglomus	
ASV_10064	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	Glomus	
ASV_10065	Fungi	Glomeromycota	Glomeromycetes				
ASV_10066	Fungi	Glomeromycota	Glomeromycetes	Glomerales			
ASV_10067	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	Glomus	Glo16
ASV_10068	Fungi	Glomeromycota	Glomeromycetes				
ASV_10069	Fungi	Glomeromycota	Glomeromycetes	Glomerales			
ASV_10070	Fungi	Glomeromycota	Glomeromycetes	Paraglomerales	Paraglomeraceae	Paraglomus	sp
ASV_1007	Fungi	Glomeromycota	Glomeromycetes	Paraglomerales	Paraglomeraceae	Paraglomus	Glom_1B13
ASV_10071	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	Glomus	
ASV_10072	Fungi	Glomeromycota	Glomeromycetes				
ASV_10073	Fungi	Glomeromycota	Glomeromycetes				
ASV_10074	Fungi	Glomeromycota	Glomeromycetes				
ASV_10075	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	Glomus	
ASV_10076	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	Glomus	
ASV_10077	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	Glomus	
ASV_10078	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	Glomus	
ASV_10079	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	Glomus	
ASV_1008	Fungi	Glomeromycota	Glomeromycetes				
ASV_10080	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	Glomus	
ASV_10081	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	Glomus	
ASV_10082	Fungi	Glomeromycota	Glomeromycetes				
ASV_10083	Fungi	Glomeromycota	Glomeromycetes				
ASV_10084	Fungi	Glomeromycota	Glomeromycetes				
ASV_10085	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	Glomus	
ASV_10086	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	Glomus	MO_G23
ASV_10087	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	Glomus	
ASV_10088	Fungi	Glomeromycota	Glomeromycetes				
ASV_10089	Fungi	Glomeromycota	Glomeromycetes	Paraglomerales	Paraglomeraceae	Paraglomus	MO_P1
ASV_1009	Fungi	Glomeromycota	Glomeromycetes				
ASV_10090	Fungi	Glomeromycota	Glomeromycetes				
ASV_10091	Fungi	Glomeromycota	Glomeromycetes				
ASV_10092	Fungi	Glomeromycota	Glomeromycetes				
ASV_10093	Fungi	Glomeromycota	Glomeromycetes				
ASV_10094	Fungi	Glomeromycota	Glomeromycetes	Paraglomerales	Paraglomeraceae	Paraglomus	Glom_1B13
ASV_10095	Fungi	Glomeromycota	Glomeromycetes				
ASV_10096	Fungi	Glomeromycota	Glomeromycetes				
ASV_10097	Fungi	Glomeromycota	Glomeromycetes				
ASV_10098	Fungi	Glomeromycota	Glomeromycetes				
ASV_10099	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	Glomus	
ASV_1010	Fungi	Glomeromycota	Glomeromycetes				
ASV_10100	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	Glomus	
ASV_101	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	Glomus	
ASV_10101	Fungi	Glomeromycota	Glomeromycetes				
ASV_10102	Fungi	Glomeromycota	Glomeromycetes				
ASV_10103	Fungi	Glomeromycota	Glomeromycetes				
ASV_10104	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	Glomus	
ASV_10105	Fungi	Glomeromycota	Glomeromycetes				
ASV_10106	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	Glomus	
ASV_10107	Fungi	Glomeromycota	Glomeromycetes				
ASV_10108	Fungi	Glomeromycota	Glomeromycetes				
