"igraph.degree","igraph.closeness","igraph.betweenness","igraph.cen.degree"
12,0.35650623885918,57.2659789705102,12
25,0.385356454720617,455.107096099018,25
11,0.328407224958949,55.637703912733,11
17,0.362976406533575,128.113035389961,17
22,0.375234521575985,583.592309956198,22
13,0.373831775700935,598.782365446522,13
10,0.330578512396694,31.7309817347839,10
18,0.338409475465313,243.923517552287,18
14,0.361663652802893,110.467236103398,14
8,0.32520325203252,9.86149774332335,8
13,0.351493848857645,68.6360929597675,13
28,0.396039603960396,652.387068934121,28
23,0.385356454720617,417.507388411487,23
12,0.346620450606586,131.91521018227,12
16,0.330578512396694,166.694050710935,16
29,0.399201596806387,784.895736480479,29
14,0.362976406533575,203.709915841946,14
11,0.346620450606586,238.806383769621,11
23,0.386847195357834,399.920191715522,23
10,0.323101777059774,254.094163296409,10
17,0.350262697022767,126.878473495914,17
23,0.35778175313059,370.015038614325,23
22,0.364298724954463,394.948533346899,22
16,0.36036036036036,157.411084664646,16
21,0.371057513914657,275.57581076803,21
31,0.405679513184584,1050.16084656404,31
5,0.289435600578871,154.629686923832,5
15,0.378071833648393,715.767664700428,15
14,0.341880341880342,86.8866821330048,14
11,0.332778702163062,88.7192392688004,11
22,0.355239786856128,264.011065221959,22
21,0.368324125230203,302.615683373444,21
12,0.313971742543171,73.8257854363118,12
18,0.352733686067019,173.462170321129,18
6,0.324149108589951,205.886890420083,6
3,0.288600288600289,2.33838645177539,3
12,0.338409475465313,118.569579566624,12
18,0.352733686067019,187.617581310481,18
16,0.341880341880342,116.094117733206,16
9,0.350262697022767,67.5836313051908,9
14,0.33955857385399,136.164368046627,14
7,0.33500837520938,333.542907375659,7
9,0.349040139616056,71.1525327124835,9
12,0.345423143350604,195.985723871926,12
13,0.337268128161889,101.398676402348,13
13,0.361663652802893,118.949236111471,13
14,0.345423143350604,97.5138393569881,14
10,0.337268128161889,54.6991632675189,10
7,0.31201248049922,62.5052249792335,7
10,0.364298724954463,333.788249475757,10
9,0.362976406533575,291.917604139692,9
6,0.30441400304414,123.722866407481,6
10,0.341880341880342,277.896277192369,10
5,0.241837968561064,155.508842296623,5
5,0.30441400304414,19.4405237375862,5
8,0.31104199066874,104.81274745945,8
8,0.316957210776545,133.123552769475,8
5,0.305343511450382,50.2088807404996,5
10,0.31496062992126,663.909155717635,10
6,0.309119010819165,47.9845495221369,6
11,0.353982300884956,171.456197893466,11
9,0.349040139616056,67.85228263973,9
3,0.245398773006135,5.54591119307921,3
2,0.236686390532544,0.652089426731455,2
9,0.33500837520938,694.010122388446,9
8,0.347826086956522,31.2362285708315,8
5,0.341880341880342,14.1446404322352,5
13,0.369685767097967,1412.49931151587,13
6,0.343053173241852,18.1448764814736,6
7,0.344234079173838,28.6628202968381,7
6,0.345423143350604,57.3479800841238,6
12,0.32626427406199,278.642250101453,12
7,0.344234079173838,25.202957242538,7
7,0.328407224958949,33.2527922716035,7
2,0.302571860816944,0.250502456689058,2
5,0.341880341880342,14.1446404322352,5
4,0.340715502555366,16.3818378515991,4
5,0.32,9.67833180040187,5
13,0.337268128161889,229.824735547229,13
13,0.327332242225859,297.461093825595,13
7,0.344234079173838,25.202957242538,7
14,0.329489291598023,116.5322025916,14
12,0.324149108589951,147.830073924143,12
12,0.32626427406199,278.90311509903,12
12,0.324149108589951,74.6886232968578,12
4,0.31201248049922,14.1779923791869,4
1,1,0,1
2,0.288600288600289,0.191970198822735,2
