"","N0","Means","SD"
"num.edges",666,666,0
"num.pos.edges",0,0,0
"num.neg.edges",0,0,0
"num.vertices",368,368,0
"connectance",0.00986257552422699,0.00986257552422699,0
"average.degree",3.6195652173913,3.6195652173913,0
"average.path.length",4.06397097858786,4.64916695382689,0.0441335410764369
"diameter",14,10.09,0.954468491365797
"edge.connectivity",0,0,0
"clustering.coefficient",0,0.0103003140343218,0.00366135634804987
"no.clusters",36,11.36,2.6799668322989
"centralization.degree",0.145450775974411,0.0183663073095605,0.00291160470743921
"centralization.betweenness",0.0601515696579893,0.0473743038337269,0.00993453569759007
"centralization.closeness",0.988391981270369,NA,NA
