"source","target","correlation","direct","cor"
"fun_ASV_38","bac_ASV_8479",0.809086110757276,"undirected","+"
"fun_ASV_419","bac_ASV_8479",0.848744856200517,"undirected","+"
"fun_ASV_857","bac_ASV_8479",0.911280776194266,"undirected","+"
"fun_ASV_319","bac_ASV_8479",0.928336833502715,"undirected","+"
"fun_ASV_1286","bac_ASV_8479",0.860825754157587,"undirected","+"
"fun_ASV_1212","bac_ASV_8479",0.913717355809759,"undirected","+"
"fun_ASV_646","bac_ASV_8479",0.92346367427173,"undirected","+"
"fun_ASV_977","bac_ASV_8479",0.838730099215623,"undirected","+"
"fun_ASV_760","bac_ASV_8479",0.855701781251341,"undirected","+"
"fun_ASV_687","bac_ASV_8479",0.818181818181818,"undirected","+"
"fun_ASV_1052","bac_ASV_8479",0.854344755318041,"undirected","+"
"fun_ASV_435","bac_ASV_8479",0.807500787010786,"undirected","+"
"fun_ASV_1799","bac_ASV_8479",0.827576773428181,"undirected","+"
"fun_ASV_122","bac_ASV_2139",0.838054073643339,"undirected","+"
"fun_ASV_389","bac_ASV_2139",1,"undirected","+"
"fun_ASV_778","bac_ASV_2139",1,"undirected","+"
"fun_ASV_218","bac_ASV_2139",1,"undirected","+"
"fun_ASV_1393","bac_ASV_2139",1,"undirected","+"
"fun_ASV_2658","bac_ASV_2139",1,"undirected","+"
"fun_ASV_153","bac_ASV_1395",1,"undirected","+"
"fun_ASV_961","bac_ASV_1395",1,"undirected","+"
"fun_ASV_1330","bac_ASV_1395",1,"undirected","+"
"fun_ASV_2245","bac_ASV_1395",1,"undirected","+"
"fun_ASV_1951","bac_ASV_1395",1,"undirected","+"
"fun_ASV_2373","bac_ASV_1395",1,"undirected","+"
"fun_ASV_122","bac_ASV_7187",0.838054073643339,"undirected","+"
"fun_ASV_389","bac_ASV_7187",1,"undirected","+"
"fun_ASV_778","bac_ASV_7187",1,"undirected","+"
"fun_ASV_218","bac_ASV_7187",1,"undirected","+"
"fun_ASV_1393","bac_ASV_7187",1,"undirected","+"
"fun_ASV_2658","bac_ASV_7187",1,"undirected","+"
"fun_ASV_153","bac_ASV_16688",1,"undirected","+"
"fun_ASV_961","bac_ASV_16688",1,"undirected","+"
"fun_ASV_1330","bac_ASV_16688",1,"undirected","+"
"fun_ASV_2245","bac_ASV_16688",1,"undirected","+"
"fun_ASV_1951","bac_ASV_16688",1,"undirected","+"
"fun_ASV_2373","bac_ASV_16688",1,"undirected","+"
"fun_ASV_153","bac_ASV_6654",1,"undirected","+"
"fun_ASV_961","bac_ASV_6654",1,"undirected","+"
"fun_ASV_1330","bac_ASV_6654",1,"undirected","+"
"fun_ASV_2245","bac_ASV_6654",1,"undirected","+"
"fun_ASV_1951","bac_ASV_6654",1,"undirected","+"
"fun_ASV_2373","bac_ASV_6654",1,"undirected","+"
"fun_ASV_153","bac_ASV_2322",1,"undirected","+"
"fun_ASV_961","bac_ASV_2322",1,"undirected","+"
"fun_ASV_1330","bac_ASV_2322",1,"undirected","+"
"fun_ASV_2245","bac_ASV_2322",1,"undirected","+"
"fun_ASV_1951","bac_ASV_2322",1,"undirected","+"
"fun_ASV_2373","bac_ASV_2322",1,"undirected","+"
"fun_ASV_153","bac_ASV_2300",1,"undirected","+"
"fun_ASV_961","bac_ASV_2300",1,"undirected","+"
"fun_ASV_1330","bac_ASV_2300",1,"undirected","+"
"fun_ASV_2245","bac_ASV_2300",1,"undirected","+"
"fun_ASV_1951","bac_ASV_2300",1,"undirected","+"
"fun_ASV_2373","bac_ASV_2300",1,"undirected","+"
"fun_ASV_309","bac_ASV_591",0.80569898172385,"undirected","+"
"fun_ASV_422","bac_ASV_591",0.817767344959776,"undirected","+"
"fun_ASV_1349","bac_ASV_591",0.810195425099037,"undirected","+"
"fun_ASV_1739","bac_ASV_591",0.833969121433459,"undirected","+"
"fun_ASV_1246","bac_ASV_591",0.836697852694326,"undirected","+"
"fun_ASV_341","bac_ASV_1434",0.8158128334064,"undirected","+"
"fun_ASV_785","bac_ASV_1434",0.891788139270325,"undirected","+"
"fun_ASV_690","bac_ASV_1434",0.815771772457372,"undirected","+"
"fun_ASV_668","bac_ASV_1434",0.947428571428571,"undirected","+"
"fun_ASV_956","bac_ASV_1434",0.884478400423847,"undirected","+"
"fun_ASV_1238","bac_ASV_4019",0.996108949416342,"undirected","+"
"fun_ASV_578","bac_ASV_4019",0.813847509649415,"undirected","+"
"fun_ASV_1015","bac_ASV_4019",0.878871688289992,"undirected","+"
"fun_ASV_1959","bac_ASV_4019",0.833411114786589,"undirected","+"
"fun_ASV_2430","bac_ASV_4019",0.889252062561134,"undirected","+"
"fun_ASV_558","bac_ASV_356",1,"undirected","+"
"fun_ASV_1181","bac_ASV_356",1,"undirected","+"
"fun_ASV_1267","bac_ASV_356",1,"undirected","+"
"fun_ASV_2058","bac_ASV_356",1,"undirected","+"
"fun_ASV_558","bac_ASV_410",1,"undirected","+"
"fun_ASV_1181","bac_ASV_410",1,"undirected","+"
"fun_ASV_1267","bac_ASV_410",1,"undirected","+"
"fun_ASV_2058","bac_ASV_410",1,"undirected","+"
"fun_ASV_1002","bac_ASV_455",1,"undirected","+"
"fun_ASV_2151","bac_ASV_455",1,"undirected","+"
"fun_ASV_2433","bac_ASV_455",1,"undirected","+"
"fun_ASV_2563","bac_ASV_455",1,"undirected","+"
"fun_ASV_1389","bac_ASV_605",1,"undirected","+"
"fun_ASV_2203","bac_ASV_605",1,"undirected","+"
"fun_ASV_1772","bac_ASV_605",1,"undirected","+"
"fun_ASV_2343","bac_ASV_605",1,"undirected","+"
"fun_ASV_558","bac_ASV_1455",1,"undirected","+"
"fun_ASV_1181","bac_ASV_1455",1,"undirected","+"
"fun_ASV_1267","bac_ASV_1455",1,"undirected","+"
"fun_ASV_2058","bac_ASV_1455",1,"undirected","+"
"fun_ASV_340","bac_ASV_8396",0.833411114786589,"undirected","+"
"fun_ASV_1216","bac_ASV_8396",0.833411114786589,"undirected","+"
"fun_ASV_1683","bac_ASV_8396",0.988326848249027,"undirected","+"
"fun_ASV_2181","bac_ASV_8396",0.833411114786589,"undirected","+"
"fun_ASV_558","bac_ASV_1083",1,"undirected","+"
"fun_ASV_1181","bac_ASV_1083",1,"undirected","+"
"fun_ASV_1267","bac_ASV_1083",1,"undirected","+"
"fun_ASV_2058","bac_ASV_1083",1,"undirected","+"
"fun_ASV_558","bac_ASV_1864",1,"undirected","+"
"fun_ASV_1181","bac_ASV_1864",1,"undirected","+"
"fun_ASV_1267","bac_ASV_1864",1,"undirected","+"
"fun_ASV_2058","bac_ASV_1864",1,"undirected","+"
"fun_ASV_224","bac_ASV_1152",1,"undirected","+"
"fun_ASV_608","bac_ASV_1152",1,"undirected","+"
"fun_ASV_1043","bac_ASV_1152",1,"undirected","+"
"fun_ASV_1714","bac_ASV_1152",1,"undirected","+"
"fun_ASV_224","bac_ASV_1912",1,"undirected","+"
"fun_ASV_608","bac_ASV_1912",1,"undirected","+"
"fun_ASV_1043","bac_ASV_1912",1,"undirected","+"
"fun_ASV_1714","bac_ASV_1912",1,"undirected","+"
"fun_ASV_224","bac_ASV_1070",1,"undirected","+"
"fun_ASV_608","bac_ASV_1070",1,"undirected","+"
"fun_ASV_1043","bac_ASV_1070",1,"undirected","+"
"fun_ASV_1714","bac_ASV_1070",1,"undirected","+"
"fun_ASV_372","bac_ASV_1879",1,"undirected","+"
"fun_ASV_860","bac_ASV_1879",1,"undirected","+"
"fun_ASV_895","bac_ASV_1879",1,"undirected","+"
"fun_ASV_1242","bac_ASV_1879",1,"undirected","+"
"fun_ASV_224","bac_ASV_1431",1,"undirected","+"
"fun_ASV_608","bac_ASV_1431",1,"undirected","+"
"fun_ASV_1043","bac_ASV_1431",1,"undirected","+"
"fun_ASV_1714","bac_ASV_1431",1,"undirected","+"
"fun_ASV_224","bac_ASV_1837",1,"undirected","+"
"fun_ASV_608","bac_ASV_1837",1,"undirected","+"
"fun_ASV_1043","bac_ASV_1837",1,"undirected","+"
"fun_ASV_1714","bac_ASV_1837",1,"undirected","+"
"fun_ASV_224","bac_ASV_2996",1,"undirected","+"
"fun_ASV_608","bac_ASV_2996",1,"undirected","+"
"fun_ASV_1043","bac_ASV_2996",1,"undirected","+"
"fun_ASV_1714","bac_ASV_2996",1,"undirected","+"
"fun_ASV_224","bac_ASV_2002",1,"undirected","+"
"fun_ASV_608","bac_ASV_2002",1,"undirected","+"
"fun_ASV_1043","bac_ASV_2002",1,"undirected","+"
"fun_ASV_1714","bac_ASV_2002",1,"undirected","+"
"fun_ASV_1002","bac_ASV_3029",1,"undirected","+"
"fun_ASV_2151","bac_ASV_3029",1,"undirected","+"
"fun_ASV_2433","bac_ASV_3029",1,"undirected","+"
"fun_ASV_2563","bac_ASV_3029",1,"undirected","+"
"fun_ASV_558","bac_ASV_1902",1,"undirected","+"
"fun_ASV_1181","bac_ASV_1902",1,"undirected","+"
"fun_ASV_1267","bac_ASV_1902",1,"undirected","+"
"fun_ASV_2058","bac_ASV_1902",1,"undirected","+"
"fun_ASV_224","bac_ASV_1877",1,"undirected","+"
"fun_ASV_608","bac_ASV_1877",1,"undirected","+"
