"source","target","correlation","direct","cor"
"fun_ASV_231","bac_ASV_1141",1,"undirected","+"
"fun_ASV_174","bac_ASV_1141",1,"undirected","+"
"fun_ASV_514","bac_ASV_1141",1,"undirected","+"
"fun_ASV_313","bac_ASV_1141",1,"undirected","+"
"fun_ASV_801","bac_ASV_1141",1,"undirected","+"
"fun_ASV_403","bac_ASV_1141",1,"undirected","+"
"fun_ASV_961","bac_ASV_1141",1,"undirected","+"
"fun_ASV_438","bac_ASV_1141",1,"undirected","+"
"fun_ASV_1200","bac_ASV_1141",1,"undirected","+"
"fun_ASV_370","bac_ASV_1141",1,"undirected","+"
"fun_ASV_1870","bac_ASV_1141",1,"undirected","+"
"fun_ASV_1134","bac_ASV_1141",1,"undirected","+"
"fun_ASV_1021","bac_ASV_1141",1,"undirected","+"
"fun_ASV_1496","bac_ASV_1141",1,"undirected","+"
"fun_ASV_1651","bac_ASV_1141",1,"undirected","+"
"fun_ASV_231","bac_ASV_1874",1,"undirected","+"
"fun_ASV_174","bac_ASV_1874",1,"undirected","+"
"fun_ASV_514","bac_ASV_1874",1,"undirected","+"
"fun_ASV_313","bac_ASV_1874",1,"undirected","+"
"fun_ASV_801","bac_ASV_1874",1,"undirected","+"
"fun_ASV_403","bac_ASV_1874",1,"undirected","+"
"fun_ASV_961","bac_ASV_1874",1,"undirected","+"
"fun_ASV_438","bac_ASV_1874",1,"undirected","+"
"fun_ASV_1200","bac_ASV_1874",1,"undirected","+"
"fun_ASV_370","bac_ASV_1874",1,"undirected","+"
"fun_ASV_1870","bac_ASV_1874",1,"undirected","+"
"fun_ASV_1134","bac_ASV_1874",1,"undirected","+"
"fun_ASV_1021","bac_ASV_1874",1,"undirected","+"
"fun_ASV_1496","bac_ASV_1874",1,"undirected","+"
"fun_ASV_1651","bac_ASV_1874",1,"undirected","+"
"fun_ASV_231","bac_ASV_1917",1,"undirected","+"
"fun_ASV_174","bac_ASV_1917",1,"undirected","+"
