"","N2","Means","SD"
"num.edges",1338,1338,0
"num.pos.edges",0,0,0
"num.neg.edges",0,0,0
"num.vertices",407,407,0
"connectance",0.0161944299875334,0.0161944299875334,0
"average.degree",6.57493857493858,6.57493857493858,0
"average.path.length",4.46026845061967,3.39583746990197,0.00761645680274748
"diameter",13,6.34,0.476095228569523
"edge.connectivity",0,0.6,0.512470743190538
"clustering.coefficient",0,0.0156519509673261,0.00230997944473976
"no.clusters",38,1.5,0.689019212175883
"centralization.degree",0.116810496120841,0.0218104961208409,0.00348776779975337
"centralization.betweenness",0.0732197512784332,0.0212236381613322,0.00440295104159606
"centralization.closeness",1.11424238083641,NA,NA
