"","N6","Means","SD"
"num.edges",519,519,0
"num.pos.edges",0,0,0
"num.neg.edges",0,0,0
"num.vertices",344,344,0
"connectance",0.00879720659027731,0.00879720659027731,0
"average.degree",3.01744186046512,3.01744186046512,0
"average.path.length",3.75084136010212,5.22814766160738,0.089479567839449
"diameter",12,11.88,0.966927864398113
"edge.connectivity",0,0,0
"clustering.coefficient",0,0.00939695855970375,0.00435947551783375
"no.clusters",43,18.85,3.5373190784302
"centralization.degree",0.128229032476778,0.0173252423893145,0.00307092029636197
"centralization.betweenness",0.0503406288469098,0.0608514993667073,0.0128317068760315
"centralization.closeness",0.959741970318877,NA,NA
