"z","module","p","roles","label","role_7"
0.820767661989163,"1",0,"Peripherals","","ultra peripheral"
1.88906842838776,"1",0.297520661157025,"Peripherals","","peripheral"
-0.514608296009078,"1",0.5,"Peripherals","","peripheral"
-0.24753310440943,"1",0,"Peripherals","","ultra peripheral"
0.820767661989163,"1",0,"Peripherals","","ultra peripheral"
0.820767661989163,"1",0,"Peripherals","","ultra peripheral"
0.0195420871902182,"1",0.489795918367347,"Peripherals","","peripheral"
-0.24753310440943,"1",0,"Peripherals","","ultra peripheral"
-0.24753310440943,"1",0.5,"Peripherals","","peripheral"
0.286617278789866,"1",0,"Peripherals","","ultra peripheral"
-0.24753310440943,"1",0,"Peripherals","","ultra peripheral"
-0.781683487608727,"1",0.32,"Peripherals","","peripheral"
-0.24753310440943,"1",0,"Peripherals","","ultra peripheral"
-0.781683487608727,"1",0,"Peripherals","","ultra peripheral"
-0.781683487608727,"1",0.444444444444444,"Peripherals","","peripheral"
-0.514608296009078,"1",0,"Peripherals","","ultra peripheral"
-0.514608296009078,"1",0.444444444444444,"Peripherals","","peripheral"
-0.514608296009078,"1",0,"Peripherals","","ultra peripheral"
-0.514608296009078,"1",0,"Peripherals","","ultra peripheral"
-0.781683487608727,"1",0,"Peripherals","","ultra peripheral"
-0.781683487608727,"1",0,"Peripherals","","ultra peripheral"
-0.514608296009078,"1",0,"Peripherals","","ultra peripheral"
-0.781683487608727,"1",0,"Peripherals","","ultra peripheral"
-0.24753310440943,"1",0,"Peripherals","","ultra peripheral"
-0.514608296009078,"1",0,"Peripherals","","ultra peripheral"
-0.781683487608727,"1",0,"Peripherals","","ultra peripheral"
-0.781683487608727,"1",0,"Peripherals","","ultra peripheral"
-0.781683487608727,"1",0,"Peripherals","","ultra peripheral"
1.35491804518846,"1",0,"Peripherals","","ultra peripheral"
0.820767661989163,"1",0,"Peripherals","","ultra peripheral"
-0.24753310440943,"1",0,"Peripherals","","ultra peripheral"
1.35491804518846,"1",0,"Peripherals","","ultra peripheral"
-0.781683487608727,"1",0,"Peripherals","","ultra peripheral"
4.02566996118494,"1",0,"Module hubs","bac_ASV_332","provincial hub"
0.820767661989163,"1",0.5,"Peripherals","","peripheral"
0.0195420871902182,"1",0.5,"Peripherals","","peripheral"
-0.781683487608727,"1",0.5,"Peripherals","","peripheral"
1.88906842838776,"1",0.444444444444444,"Peripherals","","peripheral"
-0.514608296009078,"1",0.444444444444444,"Peripherals","","peripheral"
-0.514608296009078,"1",0.5,"Peripherals","","peripheral"
0.0195420871902182,"1",0,"Peripherals","","ultra peripheral"
0.0653779694815591,"2",0,"Peripherals","","ultra peripheral"
0.198313174094063,"2",0.5,"Peripherals","","peripheral"
0.198313174094063,"2",0,"Peripherals","","ultra peripheral"
-0.0675572351309444,"2",0.444444444444444,"Peripherals","","peripheral"
-0.0675572351309444,"2",0,"Peripherals","","ultra peripheral"
-0.0675572351309444,"2",0,"Peripherals","","ultra peripheral"
0.0653779694815591,"2",0,"Peripherals","","ultra peripheral"
0.331248378706566,"2",0,"Peripherals","","ultra peripheral"
-0.599298053580958,"2",0,"Peripherals","","ultra peripheral"
-0.0675572351309444,"2",0,"Peripherals","","ultra peripheral"
-0.333427644355951,"2",0.165289256198347,"Peripherals","","peripheral"
-0.200492439743448,"2",0.53125,"Peripherals","","peripheral"
0.198313174094063,"2",0.5,"Peripherals","","peripheral"
0.0653779694815591,"2",0,"Peripherals","","ultra peripheral"
-0.200492439743448,"2",0,"Peripherals","","ultra peripheral"
0.46418358331907,"2",0,"Peripherals","","ultra peripheral"
-0.0675572351309444,"2",0,"Peripherals","","ultra peripheral"
-0.333427644355951,"2",0,"Peripherals","","ultra peripheral"
-0.333427644355951,"2",0,"Peripherals","","ultra peripheral"
-0.333427644355951,"2",0,"Peripherals","","ultra peripheral"
-0.466362848968455,"2",0,"Peripherals","","ultra peripheral"
-0.466362848968455,"2",0,"Peripherals","","ultra peripheral"
-0.466362848968455,"2",0,"Peripherals","","ultra peripheral"
-0.333427644355951,"2",0,"Peripherals","","ultra peripheral"
-0.466362848968455,"2",0,"Peripherals","","ultra peripheral"
0.730053992544076,"2",0,"Peripherals","","ultra peripheral"
