"Group","Process","Observed","Mean","Stdev","Min","Quartile25","Median","Quartile75","Max","Lower.whisker","Lower.hinge","Median","Upper.hinge","Upper.whisker","Outlier1","Outlier2","Outlier3","Outlier4","Outlier5","Outlier6"
"Original","Heterogeneous.Selection","0.005397178","0.005259224","0.001732335","0.001296503","0.004040236","0.005257659","0.006533575","0.009596421","0.001296503","0.004040236","0.005257659","0.006533575","0.009596421",NA,NA,NA,NA,NA,NA
"Original","Homogeneous.Selection","0.176718090","0.176313860","0.025920714","0.118624671","0.160571725","0.176401884","0.193947254","0.234266398","0.118624671","0.160571725","0.176401884","0.193947254","0.234266398",NA,NA,NA,NA,NA,NA
"Original","Dispersal.Limitation","0.302303238","0.299154285","0.026954308","0.231635787","0.280893276","0.302105698","0.320209686","0.364153161","0.231635787","0.280893276","0.302105698","0.320209686","0.364153161",NA,NA,NA,NA,NA,NA
"Original","Homogenizing.Dispersal","0.013702977","0.013365327","0.002153821","0.009410329","0.011692826","0.013315700","0.014838875","0.019968559","0.009410329","0.011692826","0.013315700","0.014838875","0.019419879","0.01996856",NA,NA,NA,NA,NA
"Original","Drift.and.Others","0.501878517","0.505907304","0.038854468","0.421831113","0.483024434","0.502389719","0.527472301","0.622400848","0.421831113","0.483024434","0.502389719","0.527472301","0.591172509","0.62240085","0.5947558","0.6115597",NA,NA,NA
"Original","Stochasticity","0.817884732","0.818426916","0.027054722","0.760072630","0.799377157","0.817816341","0.835359307","0.879840188","0.760072630","0.799377157","0.817816341","0.835359307","0.879840188",NA,NA,NA,NA,NA,NA
"Nodule_vs_Root","Heterogeneous.Selection","0.021711196","0.021291781","0.0050509460","0.009598649","0.017681884","0.020805393","0.024387825","0.034827558","0.009598649","0.017681884","0.020805393","0.024387825","0.03359708","0.034827558",NA,NA,NA,NA,NA
"Nodule_vs_Root","Homogeneous.Selection","0.290108934","0.293171544","0.0773375780","0.093168206","0.247063504","0.289094486","0.326826046","0.506652805","0.145090420","0.247063504","0.289094486","0.326826046","0.44116039","0.093168206","0.506652805","0.123433448","0.4545623","0.4663646",NA
"Nodule_vs_Root","Dispersal.Limitation","0.338417224","0.340801021","0.0691368608","0.174406260","0.293720082","0.336467261","0.388076217","0.551027268","0.174406260","0.293720082","0.336467261","0.388076217","0.49143511","0.551027268",NA,NA,NA,NA,NA
"Nodule_vs_Root","Homogenizing.Dispersal","0.004404151","0.004430273","0.0006928723","0.003085838","0.004002055","0.004404151","0.004797759","0.006190967","0.003085838","0.004002055","0.004404151","0.004797759","0.00589513","0.006181503","0.006190967","0.006064758",NA,NA,NA
"Nodule_vs_Root","Drift.and.Others","0.345358495","0.340305380","0.0413265173","0.248901638","0.308747408","0.340131354","0.364345360","0.478569094","0.248901638","0.308747408","0.340131354","0.364345360","0.43805894","0.478569094",NA,NA,NA,NA,NA
"Nodule_vs_Root","Stochasticity","0.688179870","0.685536674","0.0758036553","0.478296508","0.649485054","0.693761256","0.727024534","0.877104245","0.543942580","0.649485054","0.693761256","0.727024534","0.83120793","0.877104245","0.478296508","0.847131218","0.5311677","0.5141744",NA
"Nodule_vs_Rhizosphere","Heterogeneous.Selection","0.027559040","0.02750572","0.005624224","0.014417998","0.02397485","0.027523769","0.030745701","0.04254374","0.014417998","0.02397485","0.027523769","0.030745701","0.03994944","0.04239909","0.04254374",NA,NA,NA,NA
"Nodule_vs_Rhizosphere","Homogeneous.Selection","0.179261410","0.17773861","0.063946247","0.062521884","0.13776318","0.169134476","0.213251972","0.43460367","0.062521884","0.13776318","0.169134476","0.213251972","0.29546134","0.43460367","0.33560001","0.3315195","0.3511061",NA,NA
"Nodule_vs_Rhizosphere","Dispersal.Limitation","0.439903742","0.43824206","0.052456282","0.252204210","0.40530293","0.441488174","0.474210607","0.54460924","0.322998744","0.40530293","0.441488174","0.474210607","0.54460924","0.25220421",NA,NA,NA,NA,NA
"Nodule_vs_Rhizosphere","Homogenizing.Dispersal","0.008255145","0.00818352","0.001816710","0.003712088","0.00679128","0.007953718","0.009295844","0.01370043","0.003712088","0.00679128","0.007953718","0.009295844","0.01259580","0.01370043",NA,NA,NA,NA,NA
"Nodule_vs_Rhizosphere","Drift.and.Others","0.345020663","0.34833009","0.033405024","0.269671359","0.32801594","0.346794098","0.365174583","0.44417665","0.278872768","0.32801594","0.346794098","0.365174583","0.41444080","0.26967136","0.42242582","0.4441767","0.4308057","0.4249099",NA
"Nodule_vs_Rhizosphere","Stochasticity","0.793179550","0.79475567","0.064579524","0.537740987","0.75670201","0.804696012","0.837374820","0.91030463","0.635887289","0.75670201","0.804696012","0.837374820","0.91030463","0.53774099","0.62593673","0.6255119",NA,NA,NA
"Nodule_vs_Rootzone","Heterogeneous.Selection","1.505262e-02","1.503004e-02","3.680723e-03","0.006876809","1.234697e-02","1.490926e-02","1.728593e-02","2.406216e-02","0.006876809","1.234697e-02","1.490926e-02","1.728593e-02","2.406216e-02",NA,NA,NA,NA,NA,NA
"Nodule_vs_Rootzone","Homogeneous.Selection","1.434308e-01","1.413861e-01","5.029462e-02","0.056247458","1.103056e-01","1.359507e-01","1.794344e-01","2.637849e-01","0.056247458","1.103056e-01","1.359507e-01","1.794344e-01","2.637849e-01",NA,NA,NA,NA,NA,NA
"Nodule_vs_Rootzone","Dispersal.Limitation","3.709969e-01","3.711086e-01","4.958760e-02","0.249340238","3.387075e-01","3.725739e-01","4.095928e-01","4.603956e-01","0.249340238","3.387075e-01","3.725739e-01","4.095928e-01","4.603956e-01",NA,NA,NA,NA,NA,NA
"Nodule_vs_Rootzone","Homogenizing.Dispersal","1.023046e-05","1.133582e-05","7.892004e-06","0.000000000","6.142506e-06","9.549358e-06","1.636592e-05","3.340304e-05","0.000000000","6.142506e-06","9.549358e-06","1.636592e-05","3.137535e-05","3.340304e-05",NA,NA,NA,NA,NA
