# QIIME-formatted OTU table																																																																																																				
#OTU ID	N0.Z.1	N0.Z.2	N0.Z.3	N0.Z.4	N0.Z.5	N2.Z.1	N2.Z.2	N2.Z.3	N2.Z.4	N2.Z.5	N4.Z.1	N4.Z.2	N4.Z.3	N4.Z.4	N4.Z.5	N6.Z.1	N6.Z.2	N6.Z.3	N6.Z.4	N6.Z.5	N0.RH.1	N0.RH.2	N0.RH.3	N0.RH.4	N0.RH.5	N2.RH.1	N2.RH.2	N2.RH.3	N2.RH.4	N2.RH.5	N4.RH.1	N4.RH.2	N4.RH.3	N4.RH.4	N4.RH.5	N6.RH.1	N6.RH.2	N6.RH.3	N6.RH.4	N6.RH.5	N0.RT.1	N0.RT.2	N0.RT.3	N0.RT.4	N0.RT.5	N2.RT.1	N2.RT.2	N2.RT.3	N2.RT.4	N2.RT.5	N4.RT.1	N4.RT.2	N4.RT.3	N4.RT.4	N4.RT.5	N6.RT.1	N6.RT.2	N6.RT.3	N6.RT.4	N6.RT.5	N0.N.1	N0.N.2	N0.N.3	N0.N.4	N0.N.5	N2.N.1	N2.N.2	N2.N.3	N2.N.4	N2.N.5	N4.N.1	N4.N.2	N4.N.3	N4.N.4	N4.N.5	N6.N.1	N6.N.2	N6.N.3	N6.N.4	N6.N.5	N0.O.1	N0.O.2	N0.O.3	N0.O.4	N0.O.5	N2.O.1	N2.O.2	N2.O.3	N2.O.4	N2.O.5	N4.O.1	N4.O.2	N4.O.3	N4.O.4	N4.O.5	N6.O.1	N6.O.2	N6.O.3	N6.O.4	N6.O.5
ASV_1005	25.255	0	0	0	19.735	0	0	0	0	0	10.258	5.158	11.836	0	0	0	0	0	10.393	5.067	4.874	42.939	3.526	0	0	0	0	0	0	0	0	0	13.904	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.62	0	0.417	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_10051	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.788	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_10055	0.77	0	0	0	1.053	0	0	0	0	0	0.878	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1006	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12.72	0	15.765	0	0	0	0	0	24.052	0	13.522	38.199	0	0	39.307
ASV_10062	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.279	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_10066	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.375	0	0	0	0	0	0	0	0	0	0	0
ASV_10069	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.655
ASV_1007	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.409	0	0	0	0	0	7.615	0	0	0	0	0	0	0	0	0	0	0	0	2.126	0	0	0	0	0	0	0	1.868	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	842.708	0	0	0	114.127	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_10071	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.58	0	0	0	0	0	0	0	0	1.439	0	0	0	0	0	0	0	0
ASV_10072	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.118	0	1.249	0	0	0	0	0
