"","sink","Nodule","Original","Rhizosphere","Root","Unknown","Root.zone"
"1","rz",0.036265,0,0.58848,0.058975,0.31628,0
"2","rh",0.012735,0,0,0.03439,0.330335,0.62254
"3","rt",0.489665,0,0.055115,0,0.355795,0.099425
"4","nod",0,0,0.015575,0.422245,0.543675,0.018505
